mapping_family,required,source,validation,vehicle_symmetry_rule,unit_test,status
route_arcs_x,true,verified_RoutePlan,route_and_arc_bounds_integrality,equal_capacity_vehicles_sorted_by_canonical_route_key,valid_complete_mapping,pass
visit_z_and_mode,true,derived_from_routes,station_disjointness_and_visit_consistency,same_canonical_vehicle_permutation,valid_complete_mapping,pass
pickup_drop_load,true,derived_from_operations,inventory_capacity_load_and_duration,same_canonical_vehicle_permutation,valid_complete_mapping,pass
final_inventory_Y,true,derived_and_recomputed,capacity_inventory_and_conservation,not_applicable,valid_complete_mapping,pass
G_P_objective,true,independent_verifier,objective_residual_interval_and_cutoff,not_applicable,objective_recomputation,pass
ratio_deviation_auxiliaries,true,canonical_auxiliary_extension,all defining rows_and_bounds,not_applicable,auxiliary_completeness,pass
binary_expansion_products,true,canonical_auxiliary_extension,bit_integrality_and_linearization,not_applicable,auxiliary_completeness,pass
F0_connectivity_flow,true,canonical_downstream_count_projection,all flow links_and_balances,same_canonical_vehicle_permutation,auxiliary_completeness,pass
interval_endpoint,true,shared_GiniFrontierGeometry,closed_endpoint_owner_and_membership,not_applicable,closed_split_endpoint,pass
invalid_or_incomplete_candidate,true,any,fail_closed_without_submission,not_applicable,invalid_start_rejection,pass
