row_id,stage,instance,input_path,input_sha256,arm,K0,timing_rule,timing_threshold,point_rule,envelope_mode,lookahead_mode,process_cap_seconds,required_checkpoints_seconds,acceptable_terminal,executable_sha256,expected_evidence_files,completion_state,run_directory,parent_id,parent_lower,parent_upper,selection_use,strict_certificate,local_parent_exact,honest_cap,seconds,work,nodes,lp_work,partial_mip_work,terminal_mip_work,split_count,initial_interval_count,final_interval_count,lp_jobs,target_mip_jobs,terminal_mip_jobs,peak_memory_gb,lower_bound,verified_upper_bound,relative_gap,failure_reason,directory
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,reference/qualification_round39/small-hard/round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__retain,L0,0,0.12613596304105185,true,False,True,False,2.1392028,1.4522346323609776,1.0,1.13833179889939,0.0,0.31390283346158776,0,1,1,7,0,1,0.020334016,1e+100,0.5045438521642074,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__retain
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,reference/qualification_round39/small-hard/round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__retain,L1,0.12613596304105185,0.25227192608210369,true,False,True,False,5.6518959,6.597659394288199,404.0,1.569330598604918,0.0,5.028328795683281,0,1,1,9,0,1,0.022616481,0.5045438521642065,0.5045438521642074,1.7603592153394453e-15,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__retain
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,reference/qualification_round39/small-hard/round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__retain,L2,0.25227192608210369,0.37840788912315554,true,False,True,False,4.1615062,3.9917576716040806,151.0,1.194065974100944,0.0,2.7976916975031365,0,1,1,9,0,1,0.022559502,1e+100,0.5045438521642074,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__retain
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,reference/qualification_round39/small-hard/round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__retain,L3,0.37840788912315554,0.50454385216420738,true,False,True,False,1.8068564,0.7660561532069514,0.0,0.7021430580680196,0.0,0.0639130951389318,0,1,1,7,0,1,0.02041162,1e+100,0.5045438521642074,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__retain
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,reference/qualification_round39/small-hard/round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__retain,L0,0,0.16177910836387552,true,False,True,False,13.0757697,15.312268974301753,11.0,3.8653870953934306,0.0,11.446881878908323,0,1,1,9,0,1,0.09635361,1e+100,0.6471164334555021,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__retain
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,reference/qualification_round39/small-hard/round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__retain,L1,0.16177910836387552,0.32355821672775104,true,False,True,False,54.4092529,96.41283943098938,2167.0,3.868599457568442,0.0,92.54423997342094,0,1,1,9,0,1,0.119844253,0.647116433455502,0.6471164334555021,1.715646469827287e-16,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__retain
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,reference/qualification_round39/small-hard/round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__retain,L2,0.32355821672775104,0.48533732509162653,true,False,True,False,18.4173958,25.415093498250062,738.0,3.9291847632685704,0.0,21.485908734981493,0,1,1,9,0,1,0.096072144,1e+100,0.6471164334555021,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__retain
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,reference/qualification_round39/small-hard/round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__retain,L3,0.48533732509162653,0.64711643345550207,true,False,True,False,6.848216,4.942862316730748,1.0,3.1260789559691107,0.0,1.816783360761637,0,1,1,9,0,1,0.068519834,1e+100,0.6471164334555021,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__retain
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,reference/qualification_round39/small-hard/round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__retain,L0,0,0.12660569730604074,true,False,True,False,7.4454285,6.495836516560086,1.0,3.521080821830768,0.0,2.9747556947293177,0,1,1,9,0,1,0.068555405,1e+100,0.506422789224163,0.0,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__retain
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,reference/qualification_round39/small-hard/round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,retain,4,gamma-veto,rho_gamma=0.012,retain,all-parent-scope,frontier-d2,3600,300;1200;3600,strict_exact_or_honest_3600s_cap,PENDING_FINAL_COMPLETION_EXECUTABLE_SHA256,command.json;parent_state.json;result.json;global_bound_trace.csv;interval_tree_events.csv;interval_coverage_ledger.csv;parametric_segment_ledger.csv;parametric_breakpoint_ledger.csv;split_point_choice_ledger.csv;artifact_manifest.csv;completion_marker.json,required_pending,completion/runs/cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__retain,L1,0.12660569730604074,0.25321139461208148,true,False,True,False,82.6562565,143.4530684163412,8217.0,3.874400004303838,0.0,139.57866841203736,0,1,1,9,0,1,0.120201308,0.5063433075651865,0.506343307565206,3.837100765558795e-14,none,E:\codes\ExactEBRP\results\gf_adaptive_timing_parametric_partition_round45\completion\runs\cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__retain
