source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\certificate-basis-test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\certificate_basis_recheck.json,regen_candidate_V12_M1_average.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\certificate_basis_test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_high_imbalance_seed3202_cplex_60s.json,high_imbalance_seed3202.txt,cplex,not_certified,plain_cplex,True,False,False,True,0.799739550814,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_high_imbalance_seed3202_tailored_60s.json,high_imbalance_seed3202.txt,gcap-frontier,wrapper_timeout_noncertified,paper_core,False,True,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_best_checkpoint,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_tight_T_seed3101_cplex_60s.json,tight_T_seed3101.txt,cplex,not_certified,plain_cplex,True,False,False,True,0.984223332822,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_tight_T_seed3101_tailored_60s.json,tight_T_seed3101.txt,gcap-frontier,wrapper_timeout_noncertified,paper_core,False,True,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_best_checkpoint,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_cplex_60s.json,regen_candidate_V12_M1_average.txt,cplex,not_certified,plain_cplex,True,False,False,True,0.041608206473,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_tailored_60s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_tailored_60s_auto_oracle\interval_6.json,regen_candidate_V12_M1_average.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_tailored_60s_auto_oracle\interval_7.json,regen_candidate_V12_M1_average.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m2_cplex_60s.json,regen_candidate_V12_M2_average.txt,cplex,not_certified,plain_cplex,True,False,False,True,0.242063774551,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m2_tailored_60s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,wrapper_timeout_noncertified,paper_core,False,True,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_best_checkpoint,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v4_smoke_cplex_60s.json,gcap_smoke_V4_M1.txt,cplex,optimal,plain_cplex,True,False,False,True,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v4_smoke_tailored_60s.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_compact,True,False,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\gini-subset-envelope-test.json,gcap_smoke_V4_M1.txt,gini-subset-envelope-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\interval_callback_smoke.json,gcap_smoke_V4_M1.txt,interval-cutoff-oracle,interval_feasible_improving_ub,diagnostic,False,False,False,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\low-gini-l1-centering-test.json,gcap_smoke_V4_M1.txt,low-gini-l1-centering-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_callback_60s.json,moderate_seed3301.txt,interval-cutoff-oracle,wrapper_timeout_noncertified,diagnostic_fixed_interval,False,False,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_best_checkpoint,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_callback_auto_10s.json,moderate_seed3301.txt,interval-cutoff-oracle,wrapper_timeout_noncertified,diagnostic_fixed_interval,False,False,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_best_checkpoint,True,0,,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_callback_auto_60s.json,moderate_seed3301.txt,interval-cutoff-oracle,wrapper_timeout_noncertified,diagnostic_fixed_interval,False,False,False,False,1.0,0,0,0,False,True,True,False,False,wrapper_best_checkpoint,True,0,,
