instance_id,role,mode,run_id,executable_sha256,correctness,certified,work,process_seconds,nodes,candidates_considered,candidates_accepted,all_membership_checks_pass,mapping_statuses,gurobi_acceptance_statuses,shifted_work_over_pgrb,shifted_time_over_pgrb,severe_pgrb_regression
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,off,stage3-development__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,1671.8335188598146,759.4792273,19435.0,0,0,True,not_requested,not_requested,1.0397274806503622,0.8127494326674454,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,verified,stage5-mip-start__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive-starts,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,1671.8335188598146,759.8097715,19435.0,3,0,True,not_requested,not_requested,1.0397274806503622,0.8131026962430663,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,off,stage3-development__round39_small_medium_V10_M2_Q20_slot05_seed968549317__noadaptive,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,95.74423884861486,58.5792567,4957.0,0,0,True,not_requested,not_requested,0.18666510029598007,0.20320738086573867,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,verified,stage5-mip-start__round39_small_medium_V10_M2_Q20_slot05_seed968549317__noadaptive-starts,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,95.74423884861486,58.9231407,4957.0,4,0,True,not_requested,not_requested,0.18666510029598007,0.20438026839123263,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,off,stage3-development__round39_small_hard_V10_M1_Q20_slot01_seed561355351__noadaptive,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,0.7502955320985,1.4790983,1.0,0,0,True,not_requested,not_requested,1.1133692418370567,1.6321428270463323,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,verified,stage5-mip-start__round39_small_hard_V10_M1_Q20_slot01_seed561355351__noadaptive-starts,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,0.668255444274315,1.4825402,1.0,2,1,True,accepted_by_native_log|not_requested,accepted_by_native_log|not_requested,1.0611832488398936,1.6344088414260003,False
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,off,stage3-development__round39_small_hard_V12_M3_Q20_slot07_seed621538683__noadaptive,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,134.99459009347234,78.5794543,2915.0,0,0,True,not_requested,not_requested,0.03816083893169036,0.03491665056385449,False
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,verified,stage5-mip-start__round39_small_hard_V12_M3_Q20_slot07_seed621538683__noadaptive-starts,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,146.10229730672026,82.4501764,3168.0,4,1,True,accepted_by_native_log|not_requested,accepted_by_native_log|not_requested,0.04127772340168131,0.036614986549999715,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,off,stage3-development__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__noadaptive,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,162.60833994868105,95.7009891,8339.0,0,0,True,not_requested,not_requested,0.015754701343307184,0.015279969694992084,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,verified,stage5-mip-start__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__noadaptive-starts,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,133.59469362795565,79.2815541,7935.0,5,1,True,accepted_by_native_log|not_requested,accepted_by_native_log|not_requested,0.012960825842787157,0.012685492931683647,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,off,stage3-development__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__noadaptive,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,10.700450366810307,9.090919,556.0,0,0,True,not_requested,not_requested,0.11561727173652776,0.16715173470173997,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,verified,stage5-mip-start__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__noadaptive-starts,db542bbe7047260e80084432695925394c02f1ecce02f47f18fd04eed48f4a1c,True,True,10.704538463146664,9.2630707,556.0,4,1,True,not_requested|rejected_by_native_log,not_requested|rejected_by_native_log,0.11565766800591809,0.17000335359659519,False
