serial_order,validation_stage,run_id,instance_id,completion_valid,completion_reason,completion_marker_path,completion_marker_bytes,completion_marker_sha256,artifact_manifest_path,artifact_manifest_bytes,artifact_manifest_sha256,artifact_count,result_sha256,strict_certificate,emergency_timeout,algorithmic_solve_state_resumed,anchor_safety_valid,arm_contract_matches,root_coverage_valid,parent_child_coverage_valid
1,qualification_1800,r36c_01_V12_M1__bw_p__1800s,V12_M1,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_01_V12_M1__bw_p__1800s/completion_marker.json,7664,610a2d71f5787fb7b38a27f0f33b4cb8fa6be9f558a3a48c58f1beda55e9f530,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_01_V12_M1__bw_p__1800s/artifact_manifest.csv,4906,894dc973211e338da19c6433c0b3996fe60f7eb93920fdbedc2dcb13e5f007fb,47,ec0f5893ff3c8ae81748fa745daf1aff8030d1c0aadfcb55532866c1ef6a6109,True,False,False,True,True,True,True
2,qualification_1800,r36c_02_V12_M2__bw_p__1800s,V12_M2,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_02_V12_M2__bw_p__1800s/completion_marker.json,7664,46d0f31631c9b60bb779fd65d7a7669afc309ddf106b278eedb71eaf69a77f4b,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_02_V12_M2__bw_p__1800s/artifact_manifest.csv,5230,30dc4c9fd803bc71257e8338bc2fe373a1521bd2dadcbd75a86dc7ae49886cd0,50,1a69d480eae84e1035816f5edf7261d53b90d5d64e9e6d1c106c652f2b31c2fa,True,False,False,True,True,True,True
3,qualification_1800,r36c_03_high_imbalance_seed3202__bw_p__1800s,high_imbalance_seed3202,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_03_high_imbalance_seed3202__bw_p__1800s/completion_marker.json,7888,c2feb5ce12ca46e7a601103680d21981178b7d349b704387ac65b77687ec67e9,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_03_high_imbalance_seed3202__bw_p__1800s/artifact_manifest.csv,3370,2c623fff0e1eaabdcce08c4ca1c364efef04e6117c31c0bdd7a6ee4b851e8296,33,cade36996a63d218f4a26dabb1101cc9f20eac502474bbba10a8fd4bb0349d52,True,False,False,True,True,True,True
4,qualification_1800,r36c_04_moderate_seed3302__bw_p__1800s,moderate_seed3302,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_04_moderate_seed3302__bw_p__1800s/completion_marker.json,7839,8c994be4bfd4e7522b59f05b61465e593685ac2a8a5c07fa532d3278af972f06,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_04_moderate_seed3302__bw_p__1800s/artifact_manifest.csv,2291,5d2a8cd65bbf2809ab92151986dca38223dcdecee898dc2c0ea581568edbdcd3,23,a81bc34e41fb1a758213c9d4ad9250a17bd5a03b090c745b51d1329126e10c7f,False,False,False,True,True,True,True
5,qualification_1800,r36c_05_tight_T_seed3101__bw_p__1800s,tight_T_seed3101,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_05_tight_T_seed3101__bw_p__1800s/completion_marker.json,7825,95b538fcb303bfb33485d7cae30dde157523d185ef16cbca88cebc18e2a96509,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_05_tight_T_seed3101__bw_p__1800s/artifact_manifest.csv,2491,329cb0d0f87df4c945e576ced55ed64d09761f0be4486d66fe5d73e1f860973e,25,441771125d9b736496f0f52890c464cd7bdd635b24ba21a26d0b17583500958f,False,False,False,True,True,True,True
6,qualification_1800,r36c_06_high_imbalance_seed4201__bw_p__1800s,high_imbalance_seed4201,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_06_high_imbalance_seed4201__bw_p__1800s/completion_marker.json,7894,b29152b52914b903257f55d4222532115bd6cf2f182fd80f93e22b2295ef7fda,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_06_high_imbalance_seed4201__bw_p__1800s/artifact_manifest.csv,5804,ddf8c7cb8f553571c619586be43b4afef8cf733876af7163cad733182c9e3fe4,55,d683d9e2090c96599b3e13286fb441b86b14ec48e5a2a545ab09b7031a83522d,True,False,False,True,True,True,True
7,qualification_1800,r36c_07_moderate_seed4302__bw_p__1800s,moderate_seed4302,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_07_moderate_seed4302__bw_p__1800s/completion_marker.json,7813,4f2d878c439f22e1d484b31de3ec974436f0b6dde6f5179746d3360bdc6bcbe1,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_07_moderate_seed4302__bw_p__1800s/artifact_manifest.csv,3496,14b7857093f263763bd9934e91252623ad90fee223eb1b78eb66cc05a660dfcc,34,955d2192788b3092108dfe7099fb5a8f82e919b79618d48ca12a679db0d1e4b8,True,False,False,True,True,True,True
8,qualification_1800,r36c_08_tight_T_seed4101__bw_p__1800s,tight_T_seed4101,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_08_tight_T_seed4101__bw_p__1800s/completion_marker.json,7807,8af45e9576061388cb9659090a13ee69dd273e81263dfc93a71ef829931603a0,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_08_tight_T_seed4101__bw_p__1800s/artifact_manifest.csv,4471,06f7a745d0ebb9d6f474561cc09d68e3e65aa1d0032413c755c755042bdf83ce,43,0fc360694eb25b7877f1b07d2632991acc59e1a0b04a4e10a620a2419a285f26,True,False,False,True,True,True,True
9,qualification_1800,r36c_09_high_imbalance_seed5202__bw_p__1800s,high_imbalance_seed5202,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_09_high_imbalance_seed5202__bw_p__1800s/completion_marker.json,7923,c09ea8062d100b9fbeb982aa4c41eefb4ad893cfab5badedc328f86b179d5291,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_09_high_imbalance_seed5202__bw_p__1800s/artifact_manifest.csv,3371,50856c070463823ff8631fc37dfa7586fa9e9bcab04c24b4d612bb54699aae17,33,19b9d2591abd55a0e4192ccf7099438ee5bc0ea0f6acf1bbdb4aea0737177252,False,False,False,True,True,True,True
10,qualification_1800,r36c_10_high_imbalance_seed5203__bw_p__1800s,high_imbalance_seed5203,True,checksum_valid_complete_row,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_10_high_imbalance_seed5203__bw_p__1800s/completion_marker.json,7900,afad753cbbbc04ed2e2aa8a3ccacca952c5e57a18b16a3aa67dcf23c3b1430c0,results/gf_incumbent_decomposition_causal_round36/stage_c_runs/r36c_10_high_imbalance_seed5203__bw_p__1800s/artifact_manifest.csv,6798,18f1ad689856cf75855379887df21bf340e7b5e38d0c4fcd56c86a2eddcb6540,64,daa1ee57ab57ab9a8a6a8feb877208b696865b5299f2dc295aa390c237e226fd,True,False,False,True,True,True,True
