study,run_id,instance_id,arm,strict_certificate,expected_unresolved,original_problem_verifier_passed,parameter_roundtrip_valid,gurobi_presolve_effective,accepted_outcome
part0_presolve,presolve__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__off__p_grb,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,P-GRB,True,False,True,True,0,True
part0_presolve,presolve__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__off__c6_hga_full_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-HGA-FULL-K4,True,False,True,True,0,True
part0_presolve,presolve__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__auto__p_grb,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,P-GRB,True,False,True,True,-1,True
part0_presolve,presolve__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__auto__c6_hga_full_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-HGA-FULL-K4,True,False,True,True,-1,True
part0_presolve,presolve__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__off__p_grb,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,P-GRB,True,False,True,True,0,True
part0_presolve,presolve__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__off__c6_hga_full_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-HGA-FULL-K4,True,False,True,True,0,True
part0_presolve,presolve__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__auto__p_grb,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,P-GRB,True,False,True,True,-1,True
part0_presolve,presolve__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__auto__c6_hga_full_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_hga_full_k4,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_single,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_adaptive,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-K1-ADAPTIVE,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__p_grb,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,P-GRB,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_hga_full_k4,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-HGA-FULL-K4,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_single,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-K1-SINGLE,True,False,True,True,-1,True
part1_k1,k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_adaptive,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-K1-ADAPTIVE,True,False,True,True,-1,True
